Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Quikr,https://www.crunchbase.com/organization/quikr-india,"Classifieds, E-Commerce, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users to sell, buy, rent, or discover anything across India.",399,1001-5000,2019-04-19,2008-01-12,day,https://www.linkedin.com/company/quikr,http://www.quikr.com,support@quikr.com,+02267797979,Unicorn,"Jiby Thomas, Pranay Chulet",Debt Financing,Late Stage Venture,,,2,"Norwest Venture Partners, Warburg Pincus, Tiger Global Management, eBay, Matrix Partners India",,,,15,200000000,INR,2882259
BookMyShow,https://www.crunchbase.com/organization/bookmyshow,"Digital Entertainment, E-Commerce, Event Management, Events, Internet, Media and Entertainment, Music, Online Auctions, Social Media, Sports","BookMyShow is an Indian online ticketing service for cinemas, theaters, and sports.",512,501-1000,2019-01-01,1999-01-01,year,http://www.linkedin.com/company/bookmyshow,http://www.bookmyshow.com,helpdesk@bookmyshow.com,+02265088960,,"Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Venture - Series Unknown,,,,3,"SAIF Partners, TPG Growth, Stripes, Accel, Network18",,,,6,,,
Woopl,https://www.crunchbase.com/organization/wooplr,"E-Commerce, Fashion, Social Network, Social Shopping","India's largest social commerce platform, Wooplr is a free & easy way to start an online store used by 200K+ store owners.",630,51-100,2019-04-15,2013-04-19,day,https://in.linkedin.com/company/wooplr-com,http://www.wooplr.com,hello@wooplr.com,,,"Ankit Sabharwal, Arjun Zacharia, Praveen Rajaretnam, Soumen Sarkar",Venture - Series Unknown,,,,4,"Akatsuki, Trifecta Capital Advisors, Naveen Tewari, Helion Venture Partners, AET Fund",,,,,2510000,USD,2510000
FabFitFun,https://www.crunchbase.com/organization/fabfitfun,"E-Commerce, Fashion, Subscription Service, Wellness",FabFitFun offers subscription services that allow its members to discover brands and products.,771,51-100,2019-01-30,2010-01-01,year,https://www.linkedin.com/company/fabfitfun,http://fabfitfun.com,hello@fabfitfun.com,,Unicorn,"Daniel Broukhim, Katie Echevarria Rosen Kitchens, Michael Broukhim, Sam Teller",Series A,M&A,,,4,"500 Startups, New Enterprise Associates, Upfront Ventures, M13, Thrive Capital",,,,,80000000,USD,80000000
Slice,https://www.crunchbase.com/organization/slice,"E-Commerce, Food and Beverage, Food Delivery, Restaurants","Slice is providing big business tools to independent and small chain pizzerias, ultimately changing the way America orders pizza.","1,130",251-500,2019-03-15,2009-06-01,day,https://www.linkedin.com/company/mypizza/,http://slicelife.com,info@slicelife.com,(888)974-9928,,Ilir Sela,Venture - Series Unknown,,,,1,"GGV Capital, Primary Venture Partners, RiverPark Ventures, Jason Finger, Paul Appelbaum",,,,,15000000,USD,15000000
Function of Beauty,https://www.crunchbase.com/organization/function-of-beauty,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Fashion, Health Care, Lifestyle",Function of Beauty offers personalized hair care products tailored to its customers' specific hair profile and goals.,"1,540",51-100,2019-03-26,2015-01-29,day,https://www.linkedin.com/company/function-of-beauty,https://functionofbeauty.com/,hello@functionofbeauty.com,+1 (203) 274-5335,,"Hien Nguyen, Joshua Maciejewski, Zahir Dossa",Venture - Series Unknown,,,,3,"Y Combinator, GGV Capital, Bessemer Venture Partners, Bullish, SoGal Ventures",,,,,,,
ePaylater,https://www.crunchbase.com/organization/epaylater-in,"Customer Service, E-Commerce, Financial Services, FinTech, Internet, Online Portals, Payments, Software",ePaylater gives customers the option to ‘buy now and pay later’ on online portals with just one click.,"1,773",,2019-01-11,2015-12-15,day,https://www.linkedin.com/company/epaylater/,http://www.epaylater.in,founders@epaylater.in,18002000595,,"AKSHAT SAXENA, AURKO BHATTACHARYA, PRASANNAA MURALIDHARAN, SHANMU THIAGARAJA, UDAY SOMAYAJULA",Seed,Seed,,,5,"ICICI Bank, Secocha Ventures, GMO Global Payment Fund",,,,,,,
JD Health,https://www.crunchbase.com/organization/jd-health,"E-Commerce, Health Care, Pharmaceutical",JD Health is an e-commerce platform for pharmaceutical products.,"1,804",10001+,2019-05-13,2004-01-01,year,https://www.linkedin.com/company/jd.com/,https://health.jd.com/,press@jd.com,,Unicorn,,Series A,Early Stage Venture,,,,"JD.com, CICC, Baring Private Equity Asia, CPE",,,,,1000000000,USD,1000000000
Homie,https://www.crunchbase.com/organization/homie-3,"Commercial Real Estate, E-Commerce, Finance, Real Estate",Homie is the future of home buying and selling. Customers save thousands of dollars—we’re not focused on commissions. #wegotyourback,"1,834",11-50,2019-01-15,2014-01-01,year,https://www.linkedin.com/company/homie-com,https://www.homie.com/,contact@homie.com,(385) 429-6888 #2,,"Johnny Hanna, Matt Thorne, Mike Peregrina, Mike Trionfo",Venture - Series Unknown,,,,4,"Valar Ventures, Album VC, EPIC Ventures, KPCB Edge, Scott Cunningham",,,,,2254000,USD,2254000
Bulbulshop,https://www.crunchbase.com/organization/bulbulshop,"Apps, Beauty, Cosmetics, E-Commerce, Health Care, Jewelry","Bulbulshop is a purchasing e-commerce app that provides health, gadgets, beauty, cosmetics, apparel, jewelry, home, kitchen, and bags.","1,960",,2019-04-19,2018-11-28,day,,https://bulbul.tv,,,,Sachin Bhatia,Seed,Seed,,,1,"Sequoia Capital India, Surge Ahead, Leo Capital India, Rajul Garg, 10XF",,,,,1500000,USD,1500000
