Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,Investment Stage,Company Type,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Gojob,https://www.crunchbase.com/organization/gojob,"Human Resources, Recruiting, Staffing Agency",Gojob is a marketplace for temporary workers.,"12,075",11-50,2020-01-22,2015-09-01,month,,For Profit,https://www.linkedin.com/company/gojob,http://www.gojob.com,contact@gojob.com,,,Pascal Lorne,Venture - Series Unknown,,,,1,"Breega, Alter Equity 3P, Avolta Partners, Pierre Kosciusko-Morizet, Frédéric Mazzella",,,,,11000000,EUR,12205392
Personio,https://www.crunchbase.com/organization/personio,"Employment, Human Resources, Recruiting, Software",Personio is a Germany-based company developing an HR management and recruiting solution for startups and SMEs.,574,251-500,2020-01-21,2015-05-14,day,,For Profit,https://www.linkedin.com/company/personio/,https://www.personio.com,info@personio.de,+49 89 12501003,,"Arseniy Vershinin, Hanno Renner, Ignaz Forstmeier, Roman Schumacher",Series C,Late Stage Venture,,,4,"Global Founders Capital, Index Ventures, Picus Capital, Lightspeed Venture Partners, Accel",,,,1,75000000,USD,75000000
jacando,https://www.crunchbase.com/organization/jacando,"Cloud Computing, Human Resources, Recruiting, Social Media, Software",jacando is a Swiss cloud-based software for Human Resource Management dedicated to digitalization and HR.,"102,354",51-100,2020-01-20,2012-07-27,day,,For Profit,https://www.linkedin.com/company/jacando-ag,http://www.jacando.com,info@jacando.com,+41 61 783 00 00,,Dennis Teichmann,Debt Financing,,,,1,Round2 Capital Partners,,,,,,,
Apploi,https://www.crunchbase.com/organization/apploi,"Mobile, Recruiting, Retail Technology",Apploi makes hiring simple and accessible for all by utilizing mobile technology.,"10,230",11-50,2020-01-17,2013-04-01,day,,For Profit,http://www.linkedin.com/company/2909122,http://apploi.com,imatter@apploi.com,(212) 273-9694,,Adam Lewis,Series B,Early Stage Venture,,,1,"OurCrowd, RiverPark Ventures, Defy.vc, Flatiron Investors, Laurel Touby",,,,,5200000,USD,5200000
Kenoby,https://www.crunchbase.com/organization/kenoby,"Analytics, Human Resources, Information Technology, Internet, Recruiting, SaaS, Software, Staffing Agency","Kenoby is a recruitment and selection platform (ATS) that connects recruiters, managers, and candidates","2,111",51-100,2020-01-15,2014-01-01,year,,For Profit,https://www.linkedin.com/company/kenoby/,http://www.kenoby.com.br,support@kenoby.com,,,Marcel Lotufo,Venture - Series Unknown,,,,1,"Astella Investimentos, Duxx Investimentos",,,,,20000000,BRL,4789769
MyWorkChoice,https://www.crunchbase.com/organization/myworkchoice,"Recruiting, Staffing Agency",MyWorkChoice is bringing a new way to work to cities across the country.,"19,920",51-100,2020-01-10,,,,For Profit,https://www.linkedin.com/company/myworkchoice,https://myworkchoice.com/,media@myworkchoice.com,866-824-4898,,,Seed,Seed,,,,P. Jeffrey Leck,,,,,3000000,USD,3000000
MVP Staffing,https://www.crunchbase.com/organization/mvp-staffing,"Human Resources, Recruiting, Staffing Agency",MVP Staffing develop a game plan to ensure productivity and operational stability to devote more time and energy to things you do best.,"8,590",251-500,2020-01-09,2000-01-01,day,,,https://www.linkedin.com/company/mvpstaffing/,https://mvpstaffing.com/,,,,,Debt Financing,,,,,CIT Group,,,,,75000000,USD,75000000
ACCES Employment,https://www.crunchbase.com/organization/acces-employment,"Employment, Recruiting",ACCES Employment engages in connecting employers with qualified employees from diverse backgrounds.,"27,718",,2020-01-09,,,,Non-profit,https://www.linkedin.com/company/acces-employment/about/,http://accesemployment.ca/,,(416) 921-1800,,,Grant,,,,,Accenture,,,,,1100000,CAD,842040
Maqqie,https://www.crunchbase.com/organization/maqqie,"Recruiting, Staffing Agency",Maqqie operates as a recruitment startup.,"29,763",,2020-01-06,2017-01-01,year,,,https://www.linkedin.com/company/maqqie/,https://maqqie.nl/,,,,,Seed,Seed,,,,,,,,,1000000,EUR,1119449
vCandidates.com,https://www.crunchbase.com/organization/vcandidates-com,"Human Resources, Information Technology, Internet, PaaS, Recruiting, SaaS",vCandidates.com is a true subscription-based career ecosystem for serious candidates and active recruiting professionals. ,"15,584",1-10,2020-01-01,2017-03-23,day,,For Profit,https://www.linkedin.com/company/vcandidates-com/,https://vcandidates.com/,ladinobryson@vcandidates.com,480-223-9049,,LT Ladino Bryson,Angel,Seed,,,1,,,,,,,,
